Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-5g79,Spreadsheet,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Manipulation: Spreadsheet
1,1711049091223,21/03/2024 19:24:51,1711052691223,1,21/03/2024 21:24:51,143587,32,task-iam7,,36321633,jpxp4,9856426,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 124.0,1280x720,1280x587,,,0,study_site,2,Stroop ,Spreadsheet1,Spreadsheet1,,,,,,5,BEGIN,,,,,,,0,,,,,,,,,,
2,1711049091317,21/03/2024 19:24:51,1711052691317,1,21/03/2024 21:24:51,143587,32,task-iam7,,36321633,jpxp4,9856426,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 124.0,1280x720,1280x587,,,0,study_site,2,Stroop ,Spreadsheet1,Spreadsheet1,1,dummy,Screen 1,yzgy6e,1,timedOut,,100.82000000000016,99.48000000000002,100.82000000000016,100.82000000000016,99.48000000000002,100.82000000000016,1,100.82000000000016,0,0,,Time Limit,screen,0,screen,dummy,
3,1711049091317,21/03/2024 19:24:51,1711052691317,1,21/03/2024 21:24:51,143587,32,task-iam7,,36321633,jpxp4,9856426,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 124.0,1280x720,1280x587,,,0,study_site,2,Stroop ,Spreadsheet1,Spreadsheet1,,,,,,5,END,,,,,,,0,,,,,,,,,,
1,1712515485712,07/04/2024 18:44:45,1712522685712,2,07/04/2024 22:44:45,143587,32,task-iam7,,36815875,hcqa8,9856430,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1920x1080,1920x945,,,0,study_site,2,DGS,Spreadsheet1,Spreadsheet1,,,,,,5,BEGIN,,,,,,,0,,,,,,,,,,
2,1712515485801,07/04/2024 18:44:45,1712522685801,2,07/04/2024 22:44:45,143587,32,task-iam7,,36815875,hcqa8,9856430,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1920x1080,1920x945,,,0,study_site,2,DGS,Spreadsheet1,Spreadsheet1,1,dummy,Screen 1,yzgy6e,1,timedOut,,97.80000004768362,97.09999999999991,97.80000004768362,97.80000004768362,97.09999999999991,97.80000004768362,1,97.80000004768362,0,0,,Time Limit,screen,0,screen,dummy,
3,1712515485802,07/04/2024 18:44:45,1712522685802,2,07/04/2024 22:44:45,143587,32,task-iam7,,36815875,hcqa8,9856430,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1920x1080,1920x945,,,0,study_site,2,DGS,Spreadsheet1,Spreadsheet1,,,,,,5,END,,,,,,,0,,,,,,,,,,
1,1710251953979,12/03/2024 13:59:13,1710255553979,1,12/03/2024 15:59:13,143587,32,task-iam7,,36013328,rqed8,9856431,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 122.0.0.0,1366x768,1366x641,,,0,study_site,2,ASRT,Spreadsheet1,Spreadsheet1,,,,,,5,BEGIN,,,,,,,0,,,,,,,,,,
2,1710251954039,12/03/2024 13:59:14,1710255554039,1,12/03/2024 15:59:14,143587,32,task-iam7,,36013328,rqed8,9856431,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 122.0.0.0,1366x768,1366x641,,,0,study_site,2,ASRT,Spreadsheet1,Spreadsheet1,1,dummy,Screen 1,yzgy6e,1,timedOut,,101.6000000357626,99.79999999999973,101.6000000357626,101.6000000357626,99.79999999999973,101.6000000357626,1,101.6000000357626,0,0,,Time Limit,screen,0,screen,dummy,
3,1710251954042,12/03/2024 13:59:14,1710255554042,1,12/03/2024 15:59:14,143587,32,task-iam7,,36013328,rqed8,9856431,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 122.0.0.0,1366x768,1366x641,,,0,study_site,2,ASRT,Spreadsheet1,Spreadsheet1,,,,,,5,END,,,,,,,0,,,,,,,,,,
1,1711296355671,24/03/2024 16:05:55,1711299955671,1,24/03/2024 18:05:55,143587,32,task-iam7,,36393478,crar9,9856432,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 122.0.0.0,1280x800,1280x665,,,0,study_site,2,ASRT,Spreadsheet1,Spreadsheet1,,,,,,5,BEGIN,,,,,,,0,,,,,,,,,,
2,1711296355746,24/03/2024 16:05:55,1711299955746,1,24/03/2024 18:05:55,143587,32,task-iam7,,36393478,crar9,9856432,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 122.0.0.0,1280x800,1280x665,,,0,study_site,2,ASRT,Spreadsheet1,Spreadsheet1,1,dummy,Screen 1,yzgy6e,1,timedOut,,102.36000004768357,99.85999999999967,102.36000004768357,102.36000004768357,99.85999999999967,102.36000004768357,1,102.36000004768357,0,0,,Time Limit,screen,0,screen,dummy,
